t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
0.00,0.00,0.00,-25.76,-29.98,-8.06,79.63,150.13,44.05,0.00,0.00,1.00,1.00
0.00,54.00,54.00,54.38,51.99,-6.49,-34.92,30.40,44.64,-1.78,1.73,-1.00,1.00
54.00,134.00,80.00,-13.11,-13.64,10.45,-87.36,-121.62,44.39,-8.79,-8.02,-1.00,-1.00
134.00,223.00,89.00,6.27,-5.04,17.04,-0.50,-83.60,44.56,-8.72,-15.38,-1.00,-1.00
223.00,308.00,85.00,0.07,-15.30,13.98,8.73,-11.39,44.64,-7.89,-16.34,0.00,-1.00
308.00,397.00,89.00,4.65,-7.34,10.34,-9.79,11.56,43.80,-8.57,-15.20,-1.00,-1.00
397.00,476.00,79.00,1.67,-7.58,9.63,-8.87,11.31,44.56,-9.06,-14.18,-1.00,-1.00
476.00,560.00,84.00,1.21,-7.58,9.28,2.14,5.64,44.72,-8.64,-13.56,-1.00,-1.00
560.00,641.00,81.00,0.07,-7.34,9.63,-10.10,7.31,44.47,-9.18,-12.80,-1.00,-1.00
641.00,724.00,83.00,-1.77,-6.42,9.83,-16.37,4.88,44.39,-10.22,-12.18,-1.00,-1.00
724.00,809.00,85.00,-3.37,-5.96,9.67,-5.75,3.59,43.72,-10.38,-11.62,-1.00,-1.00
809.00,907.00,98.00,-4.29,-5.04,9.71,1.51,10.10,44.39,-9.89,-10.33,-1.00,0.00
907.00,976.00,69.00,24.90,-5.73,11.90,-2.19,4.90,44.14,-8.26,-9.74,-1.00,-1.00
976.00,1059.00,83.00,-5.90,-3.20,10.49,0.19,3.64,44.47,-7.93,-9.02,-1.00,-1.00
1059.00,1142.00,83.00,-2.22,-3.20,10.10,32.84,1.08,44.47,-4.82,-8.48,1.00,-1.00
1142.00,1227.00,85.00,2.13,-9.20,9.35,79.65,-15.99,43.97,2.16,-9.68,1.00,-1.00
1227.00,1310.00,83.00,6.04,-7.58,9.08,37.64,0.17,44.81,5.54,-9.40,1.00,-1.00
1310.00,1391.00,81.00,4.88,-3.89,9.55,-19.67,31.72,44.64,4.22,-6.48,-1.00,1.00
1391.00,1479.00,88.00,2.59,-0.45,9.43,-67.06,33.28,44.72,-1.10,-3.14,-1.00,1.00
1479.00,1559.00,80.00,-1.31,2.99,9.35,-73.19,13.66,44.05,-6.22,-1.45,-1.00,1.00
1559.00,1642.00,83.00,-4.75,-1.37,9.98,-49.77,-41.13,45.14,-9.57,-4.35,-1.00,-1.00
1642.00,1730.00,88.00,0.30,-4.12,9.90,7.03,-81.10,44.14,-7.72,-10.54,0.00,-1.00
1730.00,1813.00,83.00,-3.83,-11.29,9.98,43.55,-33.17,44.22,-3.75,-12.86,1.00,-1.00
1813.00,1902.00,89.00,-2.91,-15.30,10.18,47.94,-8.32,44.14,0.48,-13.53,1.00,-1.00
1902.00,1993.00,91.00,-0.39,-13.40,9.79,-0.23,4.79,43.89,0.69,-12.89,0.00,-1.00
1993.00,2072.00,79.00,2.59,-12.93,9.67,-28.91,13.23,43.97,-0.84,-11.76,-1.00,1.00
2072.00,2159.00,87.00,-1.08,-14.58,9.47,-0.99,-20.29,43.72,-0.61,-13.43,-1.00,-1.00
2159.00,2247.00,88.00,-1.77,-14.58,9.35,75.48,-46.73,43.80,5.42,-16.97,1.00,-1.00
2247.00,2333.00,86.00,7.42,-18.65,8.84,74.49,-45.49,43.80,11.56,-20.39,1.00,-1.00
2333.00,2420.00,87.00,11.60,-22.81,8.61,46.92,-44.06,43.89,15.39,-23.81,1.00,-1.00
2420.00,2512.00,92.00,18.49,-28.41,7.98,38.32,-39.87,43.72,19.09,-27.33,1.00,-1.00
2512.00,2594.00,82.00,23.64,-31.58,7.04,64.33,-51.60,43.30,24.47,-31.34,1.00,-1.00
2594.00,2682.00,88.00,26.43,-38.29,6.33,85.55,-52.44,43.80,31.50,-36.00,1.00,-1.00
2682.00,2769.00,87.00,33.85,-41.89,5.00,95.59,-65.56,43.39,39.23,-41.51,1.00,-1.00
2769.00,2856.00,87.00,38.39,-42.19,3.55,96.18,-52.54,43.89,46.55,-45.37,1.00,-1.00
